plantName,growth,soil,sunlight,watering,fertilizationType,difficultyOfCare,classification,
Aloe Vera,slow,sandy,indirect sunlight,Water weekly,Balanced,3,"medicinal, skincare, succulent",
Basil,fast,well-drained,full sunlight,Keep soil evenly moist,Organic,10,"herb, edible",
Snake Plant,slow,well-drained,indirect sunlight,Water when soil is dry,No,1,toxic,
Lavender,moderate,sandy,full sunlight,Let soil dry between watering,No,4,"skincare, medicinal, herb, edible",
Cactus,slow,sandy,full sunlight,Let soil dry between watering,Low-nitrogen,4,succulent,
Rosemary,moderate,well-drained,full sunlight,Let soil dry between watering,No,4,"herb, edible",
Mint,fast,well-drained,partial sunlight,Keep soil consistently moist,Balanced,9,"herb, edible",
Thyme,moderate,sandy,full sunlight,Let soil dry between watering,Organic,6,"herb, edible",
Peace Lily,moderate,well-drained,indirect sunlight,Water when soil feels dry,Balanced,3,"flower, toxic",
Spider Plant,moderate,loamy,indirect sunlight,Keep soil slightly moist,Balanced,7,inedible,
Parsley,moderate,well-drained,partial sunlight,Keep soil consistently moist,Organic,8,"herb, edible",
Fern (Boston),moderate,well-drained,indirect sunlight,Water when topsoil is dry,Organic,3,"fern, inedible",
Bamboo Palm,slow,well-drained,indirect sunlight,Water weekly,Balanced,3,"grass, inedible, tree",
Money Plant,moderate,well-drained,indirect sunlight,Water when topsoil is dry,Balanced,3,inedible,
Jade Plant,slow,sandy,indirect sunlight,Water when soil is dry,Low-nitrogen,2,"inedible, succulent",
Orchids,moderate,well-drained,indirect sunlight,Water weekly,Balanced,4,inedible,
Cilantro,fast,well-drained,full sunlight,Keep soil moist,Balanced,10,"herb, edible",
Dill,moderate,sandy,full sunlight,Keep soil evenly moist,Organic,9,"herb, edible",
Chives,fast,well-drained,full sunlight,Keep soil moist,Balanced,10,"herb, edible",
Oregano,moderate,sandy,full sunlight,Water when topsoil is dry,Organic,6,"herb, edible",
Pothos,fast,well-drained,indirect sunlight,Water when soil is dry,Balanced,4,"toxic, vine",
Rubber Plant,moderate,well-drained,indirect sunlight,Water when soil feels dry,Balanced,3,tree,
Bougainvillea,fast,well-drained,full sunlight,Water when soil is dry,Low-nitrogen,7,"inedible, vine",
Fiddle Leaf Fig,slow,well-drained,indirect sunlight,Water when topsoil is dry,Balanced,2,"toxic, tree",
Sage,moderate,well-drained,full sunlight,Let soil dry between watering,Organic,6,"herb, edible",
Cosmos,fast,sandy,full sunlight,Water when soil feels dry,Organic,7,flower,
Geranium,moderate,well-drained,full sunlight,Water when soil is dry,Balanced,6,"flower, inedible",
Marigold,fast,well-drained,full sunlight,Water when soil is dry,Balanced,7,"flower, inedible",
Zinnia,fast,well-drained,full sunlight,Water weekly,Balanced,8,"flower, inedible",
Hibiscus,moderate,well-drained,full sunlight,Water when topsoil is dry,Balanced,6,"flower, shrub",
Begonia,moderate,well-drained,indirect sunlight,Keep soil moist,Organic,7,flower,
Chrysanthemum,fast,well-drained,full sunlight,Water when soil feels dry,Balanced,7,"flower, inedible",
